step,total_loss,ce_loss,ortho_penalty,baseline_rank,ala_rank
0,29.75,29.75,9.929105999617605e-07,15.97443962097168,35.72441101074219
40,5.343751907348633,5.34375,3.3911026093846885e-06,3.8892807960510254,3.2609190940856934
60,6.843750953674316,6.84375,1.9892313503078185e-06,11.286118507385254,8.754323959350586
80,6.500000476837158,6.5,1.3719202343054349e-06,13.321198463439941,8.6480131149292
120,3.2968757152557373,3.296875,1.4718189049744979e-06,31.153249740600586,17.592012405395508
140,6.906250476837158,6.90625,1.1576750011954573e-06,14.530861854553223,12.545809745788574
160,2.500000476837158,2.5,1.1233574923608103e-06,3.9648592472076416,3.977023124694824
180,2.937500476837158,2.9375,9.989465752369142e-07,41.71857833862305,29.302732467651367
200,2.781250476837158,2.78125,9.534302307656617e-07,43.2398796081543,39.801177978515625
240,4.937500953674316,4.9375,1.6474969015689567e-06,5.870163440704346,4.573923587799072
